x,y
3415,58537
3425,63085
3435,64042
3445,67334
3455,70744
3465,73617
3475,75771
3485,74395
3495,69488
3505,69727
3515,64880
3525,73138
3535,81037
3545,82712
3555,83610
3565,84029
3575,84328
3585,84507
3595,84866
3605,85225
3615,86123
3625,85465
3635,85166
3645,85225
3655,85285
3665,85884
3675,86302
3685,85824
3695,85943
3705,86362
3715,86482
3725,86841
3735,86183
3745,85106
3755,85465
3765,85824
3775,85824
3785,85405
3795,85525
3805,85824
3815,85465
3825,85704
3835,85225
3845,85225
3855,84627
3865,84747
3875,84507
3885,84507
3895,84208
3905,84507
3915,83550
3925,85764
3935,86901
3945,87858
3955,88756
3965,88576
3975,88876
3985,89115
3995,89534
4005,89534
4015,89653
4025,89713
4035,89893
4045,89893
4055,90192
4065,89893
4075,90671
4085,90372
4095,90252
4105,90551
4115,90312
4125,90970
4135,90611
4145,90551
4155,90431
4165,90431
4175,90790
4185,90491
4195,90850
4205,91090
4215,90970
4225,91030
4235,91209
4245,91209
4255,91748
4265,91568
4275,91987
4285,92167
4295,92107
4305,92167
4315,92586
4325,92645
4335,93363
4345,93483
4355,93423
4365,93483
4375,94022
4385,94800
4395,95218
4405,95817
4415,96475
4425,97612
4435,97792
4445,98869
4455,99946
4465,100185
4475,101023
4485,101382
4495,101801
4505,102818
4515,103656
4525,104374
4535,105391
4545,106169
4555,106827
4565,107725
4575,108563
4585,110537
4595,112572
4605,115205
4615,116760
4625,117419
4635,117479
4645,117957
4655,117778
4665,118077
4675,118197
4685,118077
4695,118675
4705,118675
4715,118735
4725,119214
4735,119034
4745,119693
4755,119334
4765,119752
4775,120291
4785,119872
4795,120411
4805,120530
4815,120650
4825,120830
4835,121009
4845,121248
4855,121308
4865,121308
4875,121488
4885,121667
4895,122146
4905,122326
4915,122924
4925,123462
4935,123403
4945,123821
4955,123522
4965,123762
4975,123881
4985,123881
4995,124360
5005,124360
5015,124121
5025,124240
5035,124240
5045,124480
5055,124540
5065,124659
5075,124360
5085,124839
5095,124839
5105,124958
5115,125078
5125,125018
5135,125258
5145,125078
5155,125018
5165,125018
5175,125317
5185,125557
5195,125437
5205,125317
5215,125497
5225,125198
5235,125437
5245,125317
